DATE,STATE,COUNTY (TOP 3),TOTAL CASES,TOTAL DEATHS,NEW CASES,NEW DEATHS,TESTS PERFORMED THAT DAY,TOTAL TESTS PERFORMED,,,,
,,BRONX,28875,2036,859,61,,,,,,
,,SUFFOLK,26888,845,745,139,,,,,,
,NJ,BERGEN,12639,767,476,26,7882,170418,,,,
,,HUDSON,10486,452,530,18,,,,,,
,,ESSEX,8333,740,584,8,,,,,,
,,UNION,9609,372,650,16,,,,,,
,,PASSAIC,8288,250,352,7,,,,,,
,MA,SUFFOLK,8074,,378,0,5435,162241,,,,
,,MIDDLESEX,8737,334,440,0,,,,,,
,,ESSEX,5153,193,239,0,,,,,,
,,NORFOLK,3789,215,130,0,,,,,,
,,WORCESTER,3069,129,117,0,,,,,,
,MI,WAYNE,13692,1119,221,49,9934,109661,,,,
,,OAKLAND,6109,471,88,13,,,,,,
,,MACOMB,4360,391,109,7,,,,,,
,,GENESEE,1240,115,12,3,,,,,,
,,WASHTENAW,870,30,0,1,,,,,,
,PA,PHILADELPHIA,9214,365,651,67,4889,158854,,,,
,,MONTGOMERY,2913,164,132,17,,,,,,
,,DELEWARE,2460,91,88,13,,,,,,
,,LEHIGH,2203,32,62,3,,,,,,
,,BERKS,1898,65,150,25,,,,,,
,CA,LOS ANGELES,12299,600,315,24,21234,280900,,,,
,,SAN DIEGO,2270,83,55,0,,,,,,
,,RIVERSIDE,2316,83,59,5,,,,,,
,,SANTA CLARA,1878,79,1878,79,,,,,,
,,ORANGE,1591,32,-45,0,,,,,,
20-Apr,NY,QUEENS,42023,2665,2167,19,16306,633861,,,,
,,KINGS,37030,2974,2554,368,,,,,,
,,NASSAU,30677,1638,664,61,,,,,,
,,BRONX,29372,1971,497,-65,,,,,,
,,SUFFOLK,27662,887,774,42,,,,,,
,NJ,BERGEN,13011,787,372,20,7639,178057,,,,
,,HUDSON,11150,492,664,40,,,,,,
,,ESSEX,10729,751,2396,11,,,,,,
,,UNION,9972,387,363,15,,,,,,
,,PASSAIC,8479,263,191,13,,,,,,
,MA,SUFFOLK,8314,263,240,263,7157,169398,,,,
,,MIDDLESEX,9253,402,516,68,,,,,,
,,ESSEX,5296,225,143,32,,,,,,
,,NORFOLK,3960,263,171,48,,,,,,
,,WORCESTER,3179,117,110,-12,,,,,,
,MI,WAYNE,13912,1148,220,29,4137,113798,,,,
,,OAKLAND,6178,479,69,8,,,,,,
,,MACOMB,4425,403,65,12,,,,,,
,,GENESEE,1256,123,16,8,,,,,,
,,WASHTENAW,878,31,8,1,,,,,,
,PA,PHILADELPHIA,,,,,4098,162952,,,,
,,MONTGOMERY,3040,184,127,20,,,,,,
,,DELEWARE,2484,99,24,8,,,,,,
,,LEHIGH,2245,33,42,1,,,,,,
,,BERKS,1945,74,47,9,,,,,,
,CA,LOS ANGELES,13787,617,1488,17,9600,290500,,,,
,,SAN DIEGO,2327,102,57,19,,,,,,
,,RIVERSIDE,2477,89,161,6,,,,,,
,,SANTA CLARA,1920,83,42,4,,,,,,
,,ORANGE,1679,33,88,1,,,,,,
21-Apr,NY,QUEENS,42822,2741,799,76,15464,649325,,,,
,,KINGS,37694,3057,664,83,,,,,,
,,NASSAU,31079,1717,402,79,,,,,,
,,BRONX,29989,2028,617,57,,,,,,
,,SUFFOLK,28154,918,492,31,,,,,,
,NJ,BERGEN,13356,835,345,48,6769,184826,,,,
,,HUDSON,11636,525,486,33,,,,,,
,,ESSEX,11128,849,399,98,,,,,,
,,UNION,10289,427,317,40,,,,,,
,,PASSAIC,8941,294,462,31,,,,,,
,MA,SUFFOLK,8669,285,355,22,5974,175372,,,,
,,MIDDLESEX,9621,428,368,26,,,,,,
,,ESSEX,5521,245,225,20,,,,,,
,,NORFOLK,4062,290,102,27,,,,,,
,,WORCESTER,3341,133,162,16,,,,,,
,MI,WAYNE,14255,1278,343,130,,,,,,
,,OAKLAND,6306,506,128,27,,,,,,
,,MACOMB,4544,445,119,42,,,,,,
,,GENESEE,1298,131,42,8,,,,,,
,,WASHTENAW,900,38,22,7,,,,,,
,PA,PHILADELPHIA,9391,363,9391,363,3899,166851,,,,
,,MONTGOMERY,3154,223,114,39,,,,,,
,,DELEWARE,2654,118,170,19,,,,,,
,,LEHIGH,2295,49,50,16,,,,,,
,,BERKS,1988,82,43,8,,,,,,
,CA,LOS ANGELES,15096,663,1309,46,18200,308700,,,,
,,SAN DIEGO,2436,109,109,7,,,,,,
,,RIVERSIDE,2631,96,154,7,,,,,,
,,SANTA CLARA,1943,88,23,5,,,,,,
,,ORANGE,1717,33,38,0,,,,,,
22-Apr,NY,QUEENS,43713,2832,891,91,20657,669982,,,,
,,KINGS,38481,3149,787,92,,,,,,
,,NASSAU,31555,1764,476,47,,,,,,
,,BRONX,30868,2083,879,55,,,,,,
,,SUFFOLK,28854,959,700,41,,,,,,
,NJ,BERGEN,13686,876,330,41,6833,191659,,,,
,,HUDSON,12039,568,403,43,,,,,,
,,ESSEX,11387,888,259,39,,,,,,
,,UNION,10484,481,195,54,,,,,,
,,PASSAIC,9392,327,451,33,,,,,,
,MA,SUFFOLK,9060,318,391,33,5090,180462,,,,
,,MIDDLESEX,10094,494,473,66,,,,,,
,,ESSEX,5783,271,262,26,,,,,,
,,NORFOLK,4212,312,150,22,,,,,,
,,WORCESTER,3456,143,115,10,,,,,,
,MI,WAYNE,,,,,,,,,,
,,OAKLAND,6463,529,157,23,,,,,,
,,MACOMB,4628,473,84,28,,,,,,
,,GENESEE,1362,138,64,7,,,,,,
,,WASHTENAW,912,40,12,2,,,,,,
,PA,PHILADELPHIA,9696,365,305,2,5105,171956,,,,
,,MONTGOMERY,3294,230,140,7,,,,,,
,,DELEWARE,2757,123,103,5,,,,,,
,,LEHIGH,2374,49,79,0,,,,,,
,,BERKS,2069,85,81,3,,,,,,
,CA,LOS ANGELES,16400,729,1304,66,173397,482097,,,,
,,SAN DIEGO,2493,112,57,3,,,,,,
,,RIVERSIDE,2822,109,191,13,,,,,,
,,SANTA CLARA,1969,94,26,6,,,,,,
,,ORANGE,1785,34,68,1,,,,,,
23-Apr,NY,QUEENS,44904,2893,1191,61,25938,695920,,,,
,,KINGS,39354,3227,873,78,,,,,,
,,NASSAU,32124,1813,569,49,,,,,,
,,BRONX,31659,2145,791,62,,,,,,
,,SUFFOLK,29567,994,713,35,,,,,,
,NJ,BERGEN,14049,907,363,31,8489,200148,,,,
,,HUDSON,12645,606,606,38,,,,,,
,,ESSEX,11811,932,424,44,,,,,,
,,UNION,10935,515,451,34,,,,,,
,,PASSAIC,9874,350,482,23,,,,,,
,MA,SUFFOLK,9739,346,679,28,14614,195076,,,,
,,MIDDLESEX,10724,545,630,51,,,,,,
,,ESSEX,6219,292,436,21,,,,,,
,,NORFOLK,4541,335,329,23,,,,,,
,,WORCESTER,3798,155,342,12,,,,,,
,MI,WAYNE,14561,1319,14561,1319,128321,128321,,,,
,,OAKLAND,6634,567,171,38,,,,,,
,,MACOMB,4862,493,234,20,,,,,,
,,GENESEE,1387,144,25,6,,,,,,
,,WASHTENAW,960,42,48,2,,,,,,
,PA,PHILADELPHIA,10090,,394,-365,7158,179114,,,,
,,MONTGOMERY,3395,,101,-230,,,,,,
,,DELEWARE,2902,,145,-123,,,,,,
,,LEHIGH,2418,,44,-49,,,,,,
,,BERKS,2212,,143,-85,,,,,,
,CA,LOS ANGELES,17548,797,1148,68,12076,494173,,,,
,,SAN DIEGO,2645,112,152,0,,,,,,
,,RIVERSIDE,2935,110,113,1,,,,,,
,,SANTA CLARA,1996,95,27,1,,,,,,
,,ORANGE,1841,36,56,2,,,,,,
24-Apr,NY,QUEENS,46387,2955,1483,62,34736,730656,,,,
,,KINGS,40648,3315,1294,88,,,,,,
,,NASSAU,32765,1867,641,54,,,,,,
,,BRONX,32701,2194,1042,49,,,,,,
,,SUFFOLK,30606,1035,1039,41,,,,,,
,NJ,BERGEN,14363,934,314,27,5814,205962,,,,
,,HUDSON,13011,640,366,34,,,,,,
,,ESSEX,12110,975,299,43,,,,,,
,,UNION,11208,542,273,27,,,,,,
,,PASSAIC,10291,383,417,33,,,,,,
,MA,SUFFOLK,10724,372,985,26,20137,215213,,,,
,,MIDDLESEX,11681,585,957,40,,,,,,
,,ESSEX,6841,319,622,27,,,,,,
,,NORFOLK,4979,368,438,33,,,,,,
,,WORCESTER,4227,166,429,11,,,,,,
,MI,WAYNE,15407,1443,846,124,7975,136296,,,,
,,OAKLAND,6804,585,170,18,,,,,,
,,MACOMB,5022,504,160,11,,,,,,
,,GENESEE,1434,151,47,7,,,,,,
,,WASHTENAW,974,47,14,5,,,,,,
,PA,PHILADELPHIA,10507,,417,0,7029,186143,,,,
,,MONTGOMERY,3525,,130,0,,,,,,
,,DELEWARE,3055,,153,0,,,,,,
,,LEHIGH,2478,,60,0,,,,,,
,,BERKS,2339,,127,0,,,,,,
,CA,LOS ANGELES,18553,848,1005,51,11862,506035,,,,
,,SAN DIEGO,2828,119,183,7,,,,,,
,,RIVERSIDE,3044,118,109,8,,,,,,
,,SANTA CLARA,2026,98,30,3,,,,,,
,,ORANGE,1945,39,104,3,,,,,,
25-Apr,NY,QUEENS,47861,3003,1474,48,46912,777568,,,,
,,KINGS,41660,3400,1012,85,,,,,,
,,NASSAU,33798,1917,1033,50,,,,,,
,,BRONX,34183,2242,1482,48,,,,,,
,,SUFFOLK,31368,1085,762,50,,,,,,
,NJ,BERGEN,14738,954,375,20,7724,213686,,,,
,,HUDSON,13367,655,356,15,,,,,,
,,ESSEX,12520,1019,410,44,,,,,,
,,UNION,11523,563,315,21,,,,,,
,,PASSAIC,10738,416,447,33,,,,,,
,MA,SUFFOLK,11218,391,494,19,11632,226845,,,,
,,MIDDLESEX,12253,629,572,44,,,,,,
,,ESSEX,7212,336,371,17,,,,,,
,,NORFOLK,5172,400,193,32,,,,,,
,,WORCESTER,4460,183,233,17,,,,,,
,MI,WAYNE,15548,1560,141,117,7748,144044,,,,
,,OAKLAND,6881,612,77,27,,,,,,
,,MACOMB,5139,517,117,13,,,,,,
,,GENESEE,1452,157,18,6,,,,,,
,,WASHTENAW,1002,50,28,3,,,,,,
,PA,PHILADELPHIA,10893,466,386,466,6792,192935,,,,
,,MONTGOMERY,3627,214,102,214,,,,,,
,,DELEWARE,3161,142,106,142,,,,,,
,,LEHIGH,2551,50,73,50,,,,,,
,,BERKS,2406,21,67,21,,,,,,
,CA,LOS ANGELES,19144,895,591,47,20049,526084,,,,
,,SAN DIEGO,2945,119,117,0,,,,,,
,,RIVERSIDE,3037,118,,0,,,,,,
,,SANTA CLARA,2045,99,19,1,,,,,,
,,ORANGE,2047,39,102,0,,,,,,
26-Apr,NY,QUEENS,48745,3056,884,53,27782,805350,,,,
,,KINGS,42487,3473,827,73,,,,,,
,,NASSAU,34522,1962,724,45,,,,,,
,,BRONX,34970,2278,787,36,,,,,,
,,SUFFOLK,32059,1115,691,30,,,,,,
,NJ,BERGEN,14965,955,227,1,9458,223144,,,,
,,HUDSON,13708,661,341,6,,,,,,
,,ESSEX,12863,1023,343,4,,,,,,
,,UNION,11853,571,330,8,,,,,,
,,PASSAIC,11137,426,399,10,,,,,,
,MA,SUFFOLK,11543,424,325,33,9255,236100,,,,
,,MIDDLESEX,12648,670,395,41,,,,,,
,,ESSEX,7489,350,277,14,,,,,,
,,NORFOLK,5288,418,116,18,,,,,,
,,WORCESTER,4572,206,112,23,,,,,,
,MI,WAYNE,15748,1580,200,20,6962,151006,,,,
,,OAKLAND,6928,620,47,8,,,,,,
,,MACOMB,5203,520,64,3,,,,,,
,,GENESEE,1467,161,15,4,,,,,,
,,WASHTENAW,1001,50,,0,,,,,,
,PA,PHILADELPHIA,11152,472,259,6,5658,198593,,,,
,,MONTGOMERY,3733,217,106,3,,,,,,
,,DELEWARE,3281,143,120,1,,,,,,
,,LEHIGH,2601,51,50,1,,,,,,
,,BERKS,2491,88,85,67,,,,,,
,CA,LOS ANGELES,19570,913,426,18,27425,553509,,,,
,,SAN DIEGO,3045,123,100,4,,,,,,
,,RIVERSIDE,3301,131,264,13,,,,,,
,,SANTA CLARA,2097,102,52,3,,,,,,
,,ORANGE,2124,40,77,1,,,,,,
27-Apr,NY,QUEENS,49399,3105,654,49,20745,826095,,,,
,,KINGS,43014,3538,527,65,,,,,,
,,NASSAU,34865,2003,343,41,,,,,,
,,BRONX,35556,2325,586,47,,,,,,
,,SUFFOLK,32470,1147,411,32,,,,,,
,NJ,BERGEN,15104,960,139,5,4631,227775,,,,
,,HUDSON,13925,673,217,12,,,,,,
,,ESSEX,13047,1028,184,5,,,,,,
,,UNION,12011,583,158,12,,,,,,
,,PASSAIC,11349,438,212,12,,,,,,
,MA,SUFFOLK,11883,448,340,24,8787,244887,,,,
,,MIDDLESEX,12953,700,305,30,,,,,,
,,ESSEX,7708,359,219,9,,,,,,
,,NORFOLK,5398,429,110,11,,,,,,
,,WORCESTER,4744,215,172,9,,,,,,
,MI,WAYNE,15872,1622,124,42,6754,157760,,,,
,,OAKLAND,6913,631,,11,,,,,,
,,MACOMB,5245,527,42,7,,,,,,
,,GENESEE,1483,165,16,4,,,,,,
,,WASHTENAW,1004,55,3,5,,,,,,
,PA,PHILADELPHIA,11361,484,209,12,4829,203422,,,,
,,MONTGOMERY,3817,232,84,15,,,,,,
,,DELEWARE,3361,145,80,2,,,,,,
,,LEHIGH,2636,56,35,5,,,,,,
,,BERKS,2526,89,35,1,,,,,,
,CA,LOS ANGELES,20456,942,886,29,24099,577608,,,,
,,SAN DIEGO,3143,128,98,5,,,,,,
,,RIVERSIDE,3381,138,80,7,,,,,,
,,SANTA CLARA,2104,105,7,3,,,,,,
,,ORANGE,2198,42,74,2,,,,,,
28-Apr,NY,QUEENS,49929,3153,530,48,18899,844994,,,,
,,KINGS,43587,3598,573,60,,,,,,
,,NASSAU,35085,2039,220,36,,,,,,
,,BRONX,35994,2367,438,42,,,,,,
,,SUFFOLK,32724,1179,254,32,,,,,,
,NJ,BERGEN,15251,1002,147,42,6584,234359,,,,
,,HUDSON,14309,722,384,49,,,,,,
,,ESSEX,13190,1090,143,62,,,,,,
,,UNION,12188,627,177,44,,,,,,
,,PASSAIC,11755,475,406,37,,,,,,
,MA,SUFFOLK,12140,469,257,21,9613,254500,,,,
,,MIDDLESEX,13417,731,464,31,,,,,,
,,ESSEX,7972,383,264,24,,,,,,
,,NORFOLK,5567,448,169,19,,,,,,
,,WORCESTER,4999,229,255,14,,,,,,
,MI,WAYNE,16173,1682,301,60,7045,164805,,,,
,,OAKLAND,7012,654,99,23,,,,,,
,,MACOMB,5339,572,94,45,,,,,,
,,GENESEE,1533,174,50,9,,,,,,
,,WASHTENAW,1033,56,29,1,,,,,,
,PA,PHILADELPHIA,11604,516,243,32,5666,209088,,,,
,,MONTGOMERY,4043,249,226,17,,,,,,
,,DELEWARE,3463,164,102,19,,,,,,
,,LEHIGH,2685,64,49,8,,,,,,
,,BERKS,2605,91,79,2,,,,,,
,CA,LOS ANGELES,21029,1000,573,58,25531,603139,,,,
,,SAN DIEGO,3316,133,173,5,,,,,,
,,RIVERSIDE,3504,142,123,4,,,,,,
,,SANTA CLARA,2130,106,26,1,,,,,,
,,ORANGE,2324,42,126,0,,,,,,
29-Apr,NY,QUEENS,50741,3244,812,91,27487,872481,,,,
,,KINGS,44236,3667,649,69,,,,,,
,,NASSAU,35505,2077,420,38,,,,,,
,,BRONX,36600,2413,606,46,,,,,,
,,SUFFOLK,33265,1205,541,26,,,,,,
,NJ,BERGEN,15446,1057,195,55,6959,241318,,,,
,,HUDSON,14596,758,287,36,,,,,,
,,ESSEX,13445,1139,255,49,,,,,,
,,UNION,12380,653,192,26,,,,,,
,,PASSAIC,12185,516,430,41,,,,,,
,MA,SUFFOLK,12539,504,399,35,11118,265618,,,,
,,MIDDLESEX,13799,802,382,71,,,,,,
,,ESSEX,8380,425,408,42,,,,,,
,,NORFOLK,5700,484,133,36,,,,,,
,,WORCESTER,5300,253,301,24,,,,,,
,MI,WAYNE,16494,1727,321,45,7547,172352,,,,
,,OAKLAND,7159,668,147,14,,,,,,
,,MACOMB,5430,597,91,25,,,,,,
,,GENESEE,1564,180,31,6,,,,,,
,,WASHTENAW,1049,59,16,3,,,,,,
,PA,PHILADELPHIA,11885,516,281,0,5795,214883,,,,
,,MONTGOMERY,4177,329,134,80,,,,,,
,,DELEWARE,3619,224,156,60,,,,,,
,,LEHIGH,2719,72,34,8,,,,,,
,,BERKS,2637,116,32,25,,,,,,
,CA,LOS ANGELES,22560,1056,1531,56,22198,625337,,,,
,,SAN DIEGO,3434,140,118,7,,,,,,
,,RIVERSIDE,3700,149,196,7,,,,,,
,,SANTA CLARA,2146,108,16,2,,,,,,
,,ORANGE,2421,44,97,2,,,,,,
30-Apr,NY,QUEENS,51631,3283,890,39,28155,900636,,,,
,,KINGS,44872,3714,636,47,,,,,,
,,NASSAU,35854,2111,349,34,,,,,,
,,BRONX,37244,2459,644,46,,,,,,
,,SUFFOLK,33664,1228,399,23,,,,,,
,NJ,BERGEN,15610,1136,164,79,6600,247918,,,,
,,HUDSON,14916,798,320,40,,,,,,
,,ESSEX,13682,1186,237,47,,,,,,
,,UNION,12578,690,198,37,,,,,,
,,PASSAIC,12449,573,264,57,,,,,,
,MA,SUFFOLK,12890,524,351,20,10029,275647,,,,
,,MIDDLESEX,14208,845,409,43,,,,,,
,,ESSEX,8673,448,293,23,,,,,,
,,NORFOLK,5896,499,196,15,,,,,,
,,WORCESTER,5550,265,250,12,,,,,,
,MI,WAYNE,16729,1782,235,55,7915,180267,,,,
,,OAKLAND,7267,696,108,28,,,,,,
,,MACOMB,5513,603,83,6,,,,,,
,,GENESEE,1581,188,17,8,,,,,,
,,WASHTENAW,1075,61,26,2,,,,,,
,PA,PHILADELPHIA,12297,607,412,91,6482,221365,,,,
,,MONTGOMERY,4307,351,130,22,,,,,,
,,DELEWARE,3696,235,77,11,,,,,,
,,LEHIGH,2796,74,77,2,,,,,,
,,BERKS,2698,117,61,1,,,,,,
,CA,LOS ANGELES,23284,1111,724,55,29648,654985,,,,
,,SAN DIEGO,3566,143,132,3,,,,,,
,,RIVERSIDE,3820,156,120,7,,,,,,
,,SANTA CLARA,2172,111,26,3,,,,,,
,,ORANGE,2591,46,170,2,,,,,,
1-May,NY,QUEENS,52274,3328,643,45,26802,927438,,,,
,,KINGS,45519,3764,647,50,,,,,,
,,NASSAU,36161,2140,307,29,,,,,,
,,BRONX,37785,2489,541,30,,,,,,
,,SUFFOLK,34037,1252,373,24,,,,,,
,NJ,BERGEN,15830,1187,220,51,8627,256545,,,,
,,HUDSON,15148,819,232,21,,,,,,
,,ESSEX,13994,1240,312,54,,,,,,
,,UNION,12779,714,201,24,,,,,,
,,PASSAIC,12814,599,365,26,,,,,,
,MA,SUFFOLK,13295,550,405,26,13989,289636,,,,
,,MIDDLESEX,14607,885,399,40,,,,,,
,,ESSEX,9028,460,355,12,,,,,,
,,NORFOLK,6065,522,169,23,,,,,,
,,WORCESTER,5787,278,237,13,,,,,,
,MI,WAYNE,16970,1802,241,20,10238,190505,,,,
,,OAKLAND,7423,705,156,9,,,,,,
,,MACOMB,5623,614,110,11,,,,,,
,,GENESEE,1600,192,19,4,,,,,,
,,WASHTENAW,1091,66,16,5,,,,,,
,PA,PHILADELPHIA,12544,638,247,31,6083,227448,,,,
,,MONTGOMERY,4406,362,99,11,,,,,,
,,DELEWARE,3848,240,152,5,,,,,,
,,LEHIGH,2850,80,54,6,,,,,,
,,BERKS,2748,117,50,0,,,,,,
,CA,LOS ANGELES,24306,1172,1022,61,30063,685048,,,,
,,SAN DIEGO,3713,150,147,7,,,,,,
,,RIVERSIDE,3893,167,73,11,,,,,,
,,SANTA CLARA,2176,113,4,2,,,,,,
,,ORANGE,2660,51,69,5,,,,,,
2-May,NY,QUEENS,53039,3377,765,49,31579,959017,,,,
,,KINGS,46275,3820,756,56,,,,,,
,,NASSAU,36519,2167,358,27,,,,,,
,,BRONX,38450,2534,665,45,,,,,,
,,SUFFOLK,34478,1277,441,25,,,,,,
,NJ,BERGEN,15974,1202,144,15,5767,262312,,,,
,,HUDSON,15401,834,253,15,,,,,,
,,ESSEX,14248,1265,254,25,,,,,,
,,UNION,12996,731,217,17,,,,,,
,,PASSAIC,13082,624,268,25,,,,,,
,MA,SUFFOLK,13606,569,311,19,9358,298994,,,,
,,MIDDLESEX,15048,923,441,38,,,,,,
,,ESSEX,9362,484,334,24,,,,,,
,,NORFOLK,6187,535,122,13,,,,,,
,,WORCESTER,6129,292,342,14,,,,,,
,MI,WAYNE,17106,1884,136,82,11204,201709,,,,
,,OAKLAND,7475,745,52,40,,,,,,
,,MACOMB,5666,625,43,11,,,,,,
,,GENESEE,1620,196,20,4,,,,,,
,,WASHTENAW,1101,70,10,4,,,,,,
,PA,PHILADELPHIA,12948,705,404,67,7928,235376,,,,
,,MONTGOMERY,4487,369,81,7,,,,,,
,,DELEWARE,3999,255,151,15,,,,,,
,,LEHIGH,2896,83,46,3,,,,,,
,,BERKS,2810,118,62,1,,,,,,
,CA,LOS ANGELES,24955,1209,649,37,30703,715751,,,,
,,SAN DIEGO,3844,150,131,0,,,,,,
,,RIVERSIDE,3997,167,104,0,,,,,,
,,SANTA CLARA,2203,115,27,2,,,,,,
,,ORANGE,2774,52,114,1,,,,,,
3-May,NY,QUEENS,53640,3424,601,47,26894,985911,,,,
,,KINGS,46839,3864,564,44,,,,,,
,,NASSAU,36780,2194,261,27,,,,,,
,,BRONX,38916,2563,466,29,,,,,,
,,SUFFOLK,34855,1309,377,32,,,,,,
,NJ,BERGEN,16185,1210,211,8,12754,275066,,,,
,,HUDSON,15769,845,368,11,,,,,,
,,ESSEX,14521,1282,273,17,,,,,,
,,UNION,13225,738,229,7,,,,,,
,,PASSAIC,13364,632,282,8,,,,,,
,MA,SUFFOLK,13777,588,171,19,15652,314646,,,,
,,MIDDLESEX,15370,972,322,49,,,,,,
,,ESSEX,9542,499,180,15,,,,,,
,,NORFOLK,6280,550,93,15,,,,,,
,,WORCESTER,6288,312,159,20,,,,,,
,MI,WAYNE,17298,1893,192,9,10823,212532,,,,
,,OAKLAND,7518,757,43,12,,,,,,
,,MACOMB,5756,628,90,3,,,,,,
,,GENESEE,1634,196,14,0,,,,,,
,,WASHTENAW,1113,71,12,1,,,,,,
,PA,PHILADELPHIA,13179,727,231,22,5265,240641,,,,
,,MONTGOMERY,4552,381,65,12,,,,,,
,,DELEWARE,4113,255,114,0,,,,,,
,,LEHIGH,2924,83,28,0,,,,,,
,,BERKS,2886,118,76,0,,,,,,
,CA,LOS ANGELES,25708,1229,753,20,32123,747874,,,,
,,SAN DIEGO,3929,150,85,0,,,,,,
,,RIVERSIDE,4034,176,37,9,,,,,,
,,SANTA CLARA,2235,116,32,1,,,,,,
,,ORANGE,2859,55,85,3,,,,,,
4-May,NY,QUEENS,54090,3458,450,34,21399,1007310,,,,
,,KINGS,47183,3895,344,31,,,,,,
,,NASSAU,36965,2221,185,27,,,,,,
,,BRONX,39223,2604,307,41,,,,,,
,,SUFFOLK,35077,1325,222,16,,,,,,
,NJ,BERGEN,16282,1215,97,5,2154,277220,,,,
,,HUDSON,15881,845,112,0,,,,,,
,,ESSEX,14621,1292,100,10,,,,,,
,,UNION,13357,737,132,-1,,,,,,
,,PASSAIC,13496,633,132,1,,,,,,
,MA,SUFFOLK,13941,596,164,8,9622,324268,,,,
,,MIDDLESEX,15757,997,387,25,,,,,,
,,ESSEX,9773,512,231,13,,,,,,
,,NORFOLK,6382,555,102,5,,,,,,
,,WORCESTER,6471,320,183,8,,,,,,
,MI,WAYNE,17314,1924,16,31,9857,222389,,,,
,,OAKLAND,7499,762,-19,5,,,,,,
,,MACOMB,5736,643,-20,15,,,,,,
,,GENESEE,1647,199,13,3,,,,,,
,,WASHTENAW,1118,76,5,5,,,,,,
,PA,PHILADELPHIA,16040,726,2861,-1,4949,245590,,,,
,,MONTGOMERY,4645,382,93,1,,,,,,
,,DELEWARE,4256,258,143,3,,,,,,
,,LEHIGH,2963,83,39,0,,,,,,
,,BERKS,2948,118,62,0,,,,,,
,CA,LOS ANGELES,26243,1256,535,27,32028,779902,,,,
,,SAN DIEGO,4022,162,93,12,,,,,,
,,RIVERSIDE,4221,184,187,8,,,,,,
,,SANTA CLARA,2238,119,3,3,,,,,,
,,ORANGE,2931,57,72,2,,,,,,
5-May,NY,QUEENS,54448,3476,358,18,21589,1028899,,,,
,,KINGS,47579,3933,396,38,,,,,,
,,NASSAU,37152,2250,187,29,,,,,,
,,BRONX,39476,2627,253,23,,,,,,
,,SUFFOLK,35275,1347,198,22,,,,,,
,NJ,BERGEN,16460,1261,178,46,10403,287623,,,,
,,HUDSON,16099,870,218,25,,,,,,
,,ESSEX,14840,1319,219,27,,,,,,
,,UNION,13503,768,146,31,,,,,,
,,PASSAIC,13797,663,301,30,,,,,,
,MA,SUFFOLK,14173,609,232,13,9081,333349,,,,
,,MIDDLESEX,15980,1028,223,31,,,,,,
,,ESSEX,9979,527,206,15,,,,,,
,,NORFOLK,6466,575,84,20,,,,,,
,,WORCESTER,6597,331,126,11,,,,,,
,MI,WAYNE,17391,1945,77,21,447,222836,,,,
,,OAKLAND,7522,772,23,10,,,,,,
,,MACOMB,5789,647,53,4,,,,,,
,,GENESEE,1668,200,21,1,,,,,,
,,WASHTENAW,1123,76,5,0,,,,,,
,PA,PHILADELPHIA,16410,743,370,17,5292,250882,,,,
,,MONTGOMERY,4687,443,42,61,,,,,,
,,DELEWARE,4326,320,70,62,,,,,,
,,LEHIGH,2999,94,36,11,,,,,,
,,BERKS,3004,147,56,29,,,,,,
,CA,LOS ANGELES,27815,,1572,,,779902,,,,
,,SAN DIEGO,4083,,61,,,,,,,
,,RIVERSIDE,4354,,133,,,,,,,
,,SANTA CLARA,2255,,17,,,,,,,
,,ORANGE,2931,,0,,,,,,,
6-May,NY,QUEENS,,,,,27022,1055921,,,,
,,KINGS,,,,,,,,,,
,,NASSAU,37350,2325,198,,,,,,,
,,BRONX,39878,,402,,,,,,,
,,SUFFOLK,35543,1347,268,0,,,,,,
,NJ,BERGEN,16520,1289,60,28,1297,288920,,,,
,,HUDSON,16197,903,98,33,,,,,,
,,ESSEX,14951,1349,111,30,,,,,,
,,UNION,13604,800,101,32,,,,,,
,,PASSAIC,13971,690,174,27,,,,,,
,MA,SUFFOLK,14476,,303,,6290,339639,,,,
,,MIDDLESEX,16327,,347,,,,,,,
,,ESSEX,10344,,365,,,,,,,
,,NORFOLK,6610,,144,,,,,,,
,,WORCESTER,6992,,395,,,,,,,
,MI,WAYNE,17571,1973,180,28,10395,233231,,,,
,,OAKLAND,7573,774,51,2,,,,,,
,,MACOMB,5832,662,43,15,,,,,,
,,GENESEE,1710,208,42,8,,,,,,
,,WASHTENAW,1129,77,6,1,,,,,,
,PA,PHILADELPHIA,,803,,,5458,256340,,,,
,,MONTGOMERY,4827,471,140,,,,,,,
,,DELEWARE,4430,326,104,,,,,,,
,,LEHIGH,3063,102,64,,,,,,,
,,BERKS,3048,148,44,,,,,,,
,CA,LOS ANGELES,28687,1367,872,1367,62972,842874,,,,
,,SAN DIEGO,4321,186,238,186,,,,,,
,,RIVERSIDE,4535,194,181,194,,,,,,
,,SANTA CLARA,2270,126,15,126,,,,,,
,,ORANGE,3156,65,225,65,,,,,,
7-May,NY,QUEENS,55450,3622,55450,3622,33995,1089916,,,,
,,KINGS,48550,3977,48550,3977,,,,,,
,,NASSAU,37593,2340,243,15,,,,,,
,,BRONX,40181,2678,303,2678,,,,,,
,,SUFFOLK,35892,1599,349,252,,,,,,
,NJ,BERGEN,16609,1319,89,30,3738,292658,,,,
,,HUDSON,16354,923,157,20,,,,,,
,,ESSEX,15095,1381,144,32,,,,,,
